
From,Event,NextOrBlock,RuleId
Idle,DropNewTriangle,Spawning,
AllSettled,DropNewTriangle,Spawning,
Spawning,TriangleOnBoard,Falling,
Falling,MotionQuiescent,AllSettled,
AllSettled,RequestRotate60CW,Rotating,
AllSettled,RequestRotate60CCW,Rotating,
Rotating,RotationFullyApplied,PostRotateCascade,
PostRotateCascade,CascadeQuiescent,AllSettled,
Falling,RequestRotate60CW,BLOCK,GRC-001
Falling,RequestRotate60CCW,BLOCK,GRC-001
Spawning,RequestRotate60CW,BLOCK,GRC-001
Spawning,RequestRotate60CCW,BLOCK,GRC-001
PostRotateCascade,RequestRotate60CW,BLOCK,PHS-002
PostRotateCascade,RequestRotate60CCW,BLOCK,PHS-002
Rotating,DropNewTriangle,BLOCK,PHS-003
Rotating,RequestRotate60CW,BLOCK,PHS-003
Rotating,RequestRotate60CCW,BLOCK,PHS-003
Spawning,DropNewTriangle,BLOCK,PHS-004
Falling,DropNewTriangle,BLOCK,PHS-004
PostRotateCascade,DropNewTriangle,BLOCK,PHS-004
